id;estado;tags;comentario;rating;publicar;actualizado
57792246;seguir;;Techo Alto, Edificio con carácter, pero tal vez con problemas, tal vez el balcón no es gran cosa;;1;2026-07-28 16:28:07
58218915;descartar;;Checkear;;1;2026-07-28 16:30:19
58460625;descartar;;;;1;2026-07-28 16:31:12
58551027;descartar;;;;1;2026-07-28 16:29:09
58627926;descartar;;Comentario;;1;2026-07-28 16:29:49
59254982;seguir;;Linda terraza;;1;2026-07-28 16:23:49
59522446;descartar;;;;1;2026-07-28 16:15:55
59622727;seguir;;Al lado de plza alemania, para salir a correr excelente, las fotos son ai;;1;2026-07-28 16:25:43
59649684;descartar;;;;1;2026-07-28 15:19:11
59663757;descartar;;Un comentario;;1;2026-07-28 16:27:32
59705270;seguir;;Resident Evil;;1;2026-07-28 16:23:58
